what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1362403279708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362403281577
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1362403282898
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1362403283220
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362403283283
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362403287473
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1362403288839
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1362403289137
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1362403289734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362403290576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362403290902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403291740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403433515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403433753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403443536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403444608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403462433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403463614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403466228
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line.to.end",1362403466787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362403467383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403467991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403468415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403469778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403719026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403721259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403743217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362403743830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405422099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405436248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405558507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405559538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405577504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405577940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405578421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405581328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405586786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405604210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405626817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405629126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405677847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405678518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405689046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405690939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405691437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405691477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405898141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362405898371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362406631277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362406659022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362406659718
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1362406664213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362406664586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362406666867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362406671177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362406673409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362406673802
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineUp",1362406682582
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineUp",1362406683004
